Name,Library Type,Account Type,Account Status,Maori Name,Symbol,Street Address,Postal Address,Web Address,Main phone,Main Fax,Email,Notes,Alternative Names,NZ Int scheme member,Special Memberships,Manager,Library Manager Title,Manager email,Library Manager Fax,Library Manager Phone,Interloan Librarian,Interloan Librarian Title,Email interloan,Phone interloan,Fax interloan,Alt Interloan Librarian,Alt Interloan Librarian Title,Alt Email interloan,Alt Phone interloan,Alt Fax interloan,Reciprocal Arrangements,Te Puna int member,Status in NZ IL Scheme,Library Status,IBS member,Std Loan standard charge,Std Loan International Charge,Std Copy Standard Charge,Std Copy International Charge,Std Notes,International Notes,Urgent loan Standard Charge,Urgent Loan International Charge,Urgent Copy Standard Charge,Urgent Copy International Charge,City,Region,Latitude,Longitude
"Christchurch Press Information Services","Other","Business","Active","","CCP",", , Christchurch","Private Bag 4722, , Christchurch -","","+64 3 364 8494 x 691","+64 3 364 8492","library@press.co.nz","","","F","","Myles McIntyre","Information Services Manager","myles.mcintyre@press.co.nz","+64 3 364 8492","+64 3 364 8494 x 691","Myles McIntyre","Information Services Manager","myles.mcintyre@press.co.nz","+64 3 364 8494 x 691","","","","","","","F","F","F","tba","0","","","","","","","","","","","Christchurch","Canterbury","-43.5304904872216","172.636298930267",
"ESR Christchurch Science Centre, Information and Research Services","Other","Research","Active","","CESR","27 Creyke Road, Ilam, Christchurch","PO Box 29 181, , Christchurch - 8540","www.esr.cri.nz","+64 3 351 6019","+64 3 351 0010","library.csc@esr.cri.nz","","Christchurch Science Centre (ESR) Information and Research Services","T","","Kevin Adams","Information Specialist (& Interloans)","library.csc@esr.cri.nz","+64 3 351 0010","+64 3 351 6019","Kevin Adams","Information Specialist (& Interloans)","library.csc@esr.cri.nz","+64 3 351 6019","","","","","","","F","T","T","Charter","T","20","20","20","20","","","30","30","30","30","Christchurch","Canterbury","-43.5218184556207","172.587010169466",
"New Zealand Law Society Library, Christchurch","Other","Law","Active","","CL","1st Floor, Law Courts Building, 282 Durham St, Christchurch","PO Box 565, , Christchurch - 8140","http://www.lawsocietylibrary.org.nz/catalogue/","+64 3 377 1852","+64 3 377 2745","canterbury@nzlslibrary.org.nz","Note: unreported cases will only be supplied if requested by academic staff (Law) or research students (Law) with prior approval from their supervisor.","Canterbury District Law Society Library","T","NZLLG (New Zealand Law Librarian's Group)","Julia de Friez","Librarian","canterbury@nzlslibrary.org.nz","+64 3 377 2745","+64 3 377 1852","Julia de Friez","Librarian","canterbury@nzlslibrary.org.nz","+64 3 377 1852","","","","","","","T","T","T","Charter","T","","","20","","Reference only collection (no loans). All copies subject to delivery charges.","","","","34","","Christchurch","Canterbury","-43.5287717870088","172.633600041725",
"Canterbury Medical Library","Other","Health","Active","","CM","2 Riccarton Avenue, , Christchurch","PO Box 4345, , Christchurch  - 8140","http://www.otago.ac.nz/christchurch/library/","+64 3 364 0500","","librarycml.uoc@otago.ac.nz","No urgent requests after 4.00pm","University of Otago, Christchurch","T","HealthLibs Network","Marg Walker","Library Manager","marg.walker@otago.ac.nz","","+64 3 364 0500","Interloans Contact","Interloans Contact","librarycml.uoc@otago.ac.nz","+64 3 364 0500","","","","","","","T","T","T","Charter","T","14","20","14","20","Non-charter libraries: $20 standard charge, $45 urgent charge.","","39","45","39","45","Christchurch","Canterbury","-43.5349854694427","172.626176763408",
"Geography Department Library, University of Canterbury, Department of Geography","Tertiary","University","Active","","CMG","cnr Arts & Forestry Roads, Ilam Campus, Christchurch","Private Bag 4800, , Christchurch -","www.geog.canterbury.ac.nz/department/maplib/index.shtml","+64 3 364 2904","+64 3 364 2907","maplibrary@geog.canterbury.ac.nz","","University of Canterbury, Geography Department Library, Department of Geography","F","","Dave Clemens","Library Manager","dave.clemens@canterbury.ac.nz","+64 3 364 2907","+64 3 364 2904","Dave Clemens","Library Manager","dave.clemens@canterbury.ac.nz","+64 3 364 2904","","","","","","","F","F","F","tba","F","","","","","","","","","","","Christchurch","Canterbury","-43.5242","172.5849",
"Mental Health Education & Resource Centre","Other","Health","Active","","CMHE","403a Worchester Street, , Christchurch","PO Box 32035, , Christchurch -","www.mherc.org.nz","03 365 5344","","sheree@mherc.org.nz","","","","","Sheree Menzies","IT/Marketing Coordinator","sheree@mherc.org.nz","","03 365 5344","Interloans Contact","Interloans Librarian","sheree@mherc.org.nz","03 365 5344","","","","","","","","","","tba","","","","","","","","","","","","Christchurch","Canterbury","","",
"Canterbury Museum Documentary Research Centre","Other","Museum","Active","","CMU","Rolleston Avenue, , Christchurch","Rolleston Avenue, , Christchurch - 8013","","+64 3 366 5000","+64 3 366 5622","docinfo@canterburymuseum.com","Documentary Research Centre closed for the foreseeable future from Dec.2011.","Documentary Research Centre, Canterbury Museum","F","","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Christchurch","Canterbury","-43.5331989595327","172.627610425892",
"Neerlandia Choir Christchurch (Inc)","Other","Music Hire","Active","","CNC","3 Castle Way, Beckenham, Christchurch","PO Box 21 344, Edgeware, Christchurch - 8143","","+64 3 332 7814","","rapeti@wxc.net.nz","Other contact details:
37 Shelley Street, Rolleston 7614
Ph: 03 347 9173","","","","CNC Hire","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","Christchurch","Canterbury","","",
"Christchurch City Libraries","Public","public library","Active","Nga Kete Wananga-o-Otautahi","CP","36 Manchester St, Christchurch Central, Christchurch","P O Box 73045, , Christchurch - 8140","christchurchcitylibraries.com","+64 3 941 7923","","library@ccc.govt.nz","","","T","","Carolyn Robertson","Libraries Manager","carolyn.robertson@ccc.govt.nz","+64 3 353 0745","+64 3 941 7851","Trudy Heney","Interloans Contact","interloans.library@ccc.govt.nz","+64 3 941 7923","","","","","","","T","T","T","Charter","T","15","45","15","45","Standards Collection charge, additional $20 per item.","","35","45","35","45","Christchurch","Canterbury","-43.5298543748666","172.634385263156",
"New Zealand Health Technology Assessment (NZHTA) Library","Other","Health","Ceased","","CPH","Dept Public Health and General Practice, Christchurch School of Medicine, St Elmo Courts, 47 Hereford St, Christchurch","c/- Christchurch School of Medicine PO Box 4345, , Christchurch -","nzhta.chmeds.ac.nz","+64 3 364 3675","+64 3 364 3697","susan.bidwell@chmeds.ac.nz","","NZHTA (New Zealand Health Technology Assessment) Library","F","","Susan Bidwell","Information Specialist and Interloans Librarian","susan.bidwell@chmeds.ac.nz","+64 3 364 3697","+64 3 364 3675","0","","","","","","","","","","F","F","F","","F","","","","","","","","","","","Christchurch","Canterbury","-43.5320491078612","172.631106117517",
"Christchurch Polytechnic Institute of Technology (CPIT),  Library & Learning Services","Tertiary","Polytechnic","Active","Te Ara Awhina i te Mätauranga","CPY","18 Williams Street, , Christchurch","PO Box 540, , Christchurch  - 8140","library.cpit.ac.nz","+64 3 940 8089","+64 3 940 8140","docsupply@cpit.ac.nz","","CPIT (Christchurch Polytechnic Institute of Technology), Library & Learning Services","T","Polytechs","Fiona Macdonald","Library Services Manager","fiona.macdonald@cpit.ac.nz","+64 3 940 8140","+64 3 940 8380","0","Interloans Librarian","docsupply@cpit.ac.nz","+64 3 940 8654","","","","","","","T","T","T","Charter","T","14","25","14","14","Non IBS, Non Te Puna Interloan, Non-Charter Libraries: Standard Interloan $20.00, Urgent Interloan $40.00.Fax requests charged as urgent.  Reciprocal Arrangements limited to Canterbury region & Polytechnics.","","25","40","25","40","Christchurch","Canterbury","-43.5153","172.6422",
"National Library of New Zealand - Christchurch Centre","Other","National Library","Active","Te Puna Matauranga o Aotearoa","CSL","Unit 6 150, Cavendish Road, Christchurch","PO Box 1380, , Christchurch - 8140","","+64 3 366 1075","+64 3 366 1108","chch@dia.govt.nz","","Christchurch Centre, National Library of New Zealand","T","","John Kenny","Library Manager","","","","Kathy Palmer","Interloans Librarian","chch@dia.govt.nz","+64 3 366 1075 x 719","","","","","","","F","T","T","Charter","T","","16","","14","Urgents not available.","Urgents not available.","","","","","Christchurch","Canterbury","","",
"University of Canterbury, Education Library","Tertiary","University","Active","Te Whare Whai Matauraka ki Otautahi","CT","Dovedale Avenue, Ilam, Christchurch","P O Box 31 065, Ilam, Christchurch - 8444","library.canterbury.ac.nz/edu","+64 3 343 7736","+64 3 343 7783","education@libr.canterbury.ac.nz","see CU for all Interloan Services","University of Canterbury, Education Library","T","","Kerry Lyford","Library Manager","kerry.lyford@canterbury.ac.nz","","+64 3 343 7736","0","see CU for all Interloan Services","","","","","","","","","F","T","T","Charter","T","14","14","14","14","Listed charges apply only to Te Puna, small public & health IBS libs; other IBS libs. $20/$40; all nonIBS libs $25/$45","","34","34","34","34","Christchurch","Canterbury","-43.5205545763501","172.571223575639",
"Tait Ltd Library and Information Services","Other","Business","Active","","CTA","558 Wairakei Road, , Christchurch","PO Box 1645, , Christchurch - 8140","www.taitradio.com","+64 3 357 0701","+64 3 359 4632","fay.hutt@taitradio.com","No charges","","T","","Fay Hutt","Information manager","fay.hutt@taitradio.com","+64 3 359 4632","+64 3 357 0701","Fay Hutt","Information manager","fay.hutt@taitradio.com","+64 3 357 0701","","","","","","","T","F","T","Charter","F","","14","","14","No domestic charges","","","14","","14","Christchurch","Canterbury","-43.4881","172.5641",
"University of Canterbury, Central Library","Tertiary","University","Active","","CU","University Drive, Ilam, Christchurch","Private Bag 4800, Ilam, Christchurch - 8140","www.canterbury.ac.nz","+64 3 366 7001","","cu@libr.canterbury.ac.nz","The Interloan service for all University of Canterbury libraries is provided by CU","Canterbury University, Central Library","T","","Anne Scott","Library Manager","anne.scott@canterbury.ac.nz","+64 3 364 2989","+64 3 364 2987","Sue Thompson","Interloans Assistant Librarian","sue.thompson@canterbury.ac.nz","+64 3 364 2987 x 8722","","","","","","","F","T","T","Charter","T","14","14","14","14","Listed charges apply only to Te Puna, small public & health IBS libs; other IBS libs. $20/$40; all nonIBS libs $25/$45","","34","34","34","34","Christchurch","Canterbury","-43.5252401357427","172.582397762098",
"University of Canterbury, Engineering Library","Tertiary","University","Pending","","CUEN","Creyke Road, Ilam, Christchurch","Private Bag 4800, Ilam, Christchurch - 8140","www.library.canterbury.ac.nz","+64 3 364 2987","+64 3 364 2755","cu@libr.canterbury.ac.nz","see CU for all Interloan Services","Engineering Library, University of Canterbury","F","","Dawn McMillan","Library Manager","dawn.mcmillan@canterbury.ac.nz","+64 3 364 2755","+64 3 364 2987 x 7152","0","see CU for all Interloan Services","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Christchurch","Canterbury","-43.5219646402785","172.587615271265",
"University of Canterbury, Macmillan Brown Library","Tertiary","University","Pending","Whare Pukapuka Rakahau o Macmillan Brown","CUMB","University Drive, Ilam, Christchurch","Private Bag 4800, Ilam, Christchurch  - 8140","","+64 3 364 2753","+64 3 364 2816","cu@libr.canterbury.ac.nz","see CU for all Interloans service","Macmillan Brown Library, University of Canterbury","F","","Jill Durney","","Jill.durney@canterbury.ac.nz","+64 3 364 2816","+64 3 364 2987 x8660","Jill Durney","","Jill.durney@canterbury.ac.nz","+64 3 364 2987 x8660","","","","","","","F","F","F","tba","F","","","","","","","","","","","Christchurch","Canterbury","","",
"University of Canterbury, Physical Sciences Library","Tertiary","University","Pending","","CUPS","Engineering Road, Ilam, Christchurch","Private Bag 4800, Ilam, Christchurch - 8140","www.canterbury.ac.nz","+64 3 366 7001 x 7593","+64 3 364 2568","cu@libr.canterbury.ac.nz","see CU for all Interloans Services","Physical Sciences Library, University of Canterbury","F","","Dawn McMillan","Library Manager","dawn.mcmillan@canterbury.ac.nz","+64 3 364 2755","+64 3 364 2987 x 7592","0","see CU for all Interloans Services","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Christchurch","Canterbury","-43.5205052117314","172.582269394306",
"University of Canterbury, School of Music","Other","Music Hire","Active","","CUSM","Ilam Road, Ilam, Christchurch","Private Bag 4800, , Christchurch - 8140","http://www.music.canterbury.ac.nz","+64 3 364 2180","+64 3 364 2728","d.motoi@canterbury.ac.nz","Other contact details:
Ph: 03 364 2183
E: s.wallis@music.canterbury.ac.nz","","","","CUSM Hire","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","Christchurch","Canterbury","","",
"Tararua District Library","Public","Public Library","Active","","DAP","1 Station Street, , Dannevirke","P O Box 115, , Dannevirke - 4942","http://www.tararuadc.govt.nz/default.asp?ID=55","+64 6 374 4255","+64 6 374 4259","library@tararuadc.govt.nz","Please post books to our street address
1 Station Street
Dannevirke 4930","","T","","Heather Taylor","District Librarian","heathert@tararuadc.govt.nz","+64 6 374 4259","+64 6 374 4258","Nikki Price","Interloans Contact","nikkip@tararuadc.govt.nz","+64 6 374 4256","","","","","","","T","T","T","Charter","T","14","14","14","14","","","20","34","20","34","Dannevirke","Manawatu-Whanganui","-40.2092419074941","176.096701157128",
"Dargaville Public Library","Public","Public Library","Active","Whare Pukapuka o Takiwira","DARK","71 Normanby Street, , Dargaville","71 Normanby Street, , Dargaville - 0310","http://www.kaipara.govt.nz/Service++Info/Library.html","+64 9 439 3150","+64 9 439 5364","library@kaipara.govt.nz","","Kaipara District Library, Dargaville Public Library","T","PL-SIG or PUB-SIG (Public Libraries Special Intere","Lisa Salter","Acting Library Manager","lsalter@kaipara.govt.nz","+64 9 439 5364","+64 9 439 3150","0","Library Assistant (Interloans)","library@kaipara.govt.nz","+64 9 439 3150","","","","","","","T","T","T","Charter","T","14","14","14","14","Charge if charged","","15","29","15","29","Dargaville","Northland","-35.9354587507966","173.862091734364",
"The Donald Beasley Institute","Other","Health","Pending","","DDBI","Dundas St, , Dunedin","Dundas Street, , Dunedin -","www.donaldbeasley.org.nz","64 4792162 67 64 479 8080","","kwright@donaldbeasley.org.nz","","","","","Krissy Wright","Information Officer/Librarian","kwright@donaldbeasley.org.nz","","64 4792162 67 64 479 8080","Krissy Wright","Information Officer/Librarian","kwright@donaldbeasley.org.nz","64 4792162 67 64 479 8080","","","","","","","","","","tba","","","","","","","","","","","","Dunedin","Otago","","",
"Knox College, Hewitson Library","Tertiary","Theological","Active","","DKN","Arden Street, Opoho, Dunedin","Arden Street, Opoho, Dunedin - 9010","","+64 3 473 0771","+64 3 473 8466","hewitson@knoxcollege.ac.nz","","Hewitson Library, Knox College","T","ANZTLA","Anne Jackman","Hewitson Librarian","anne.jackman@knoxcollege.ac.nz","","+64 3 473 0775","Lynley Trounson","Interloans Contact","hewitson@knoxcollege.ac.nz","+64 3 473 0771","","","","","","","T","F","T","Charter","F","14","14","14","14","Free reciprocal to Otago/Southland libraries & approved theological libraries.","","14","14","14","14","Dunedin","Otago","-45.8558288231058","170.525377884434",
"Dunedin Public Libraries","Public","Public Library","Active","Ka Kete Wanaka o Otepoti","DP","230 Moray Place, , Dunedin","PO Box 5542, , Dunedin - 9058","http://www.dunedinlibraries.govt.nz/","+64 3 474 3690","+64 3 474 3660","interloan@dcc.govt.nz","","","T","","Bernie Hawke","Library Manager","bhawke@dcc.govt.nz","+64 3 474 3660","+64 3 474 3657","Ann Barton","Interloans Librarian","abarton@dcc.govt.nz","+64 3 474 3604","","","","","","","T","T","T","Charter","T","14","14","14","14","Non IBS Libraries $25. Free to South Island Public Libraries","","29","29","29","29","Dunedin","Otago","-45.8725674928889","170.503591485306",
"National Library of New Zealand - Dunedin Centre","Other","National Library","Active","Te Puna Matauranga o Aotearoa","DSL","4th Floor, John Wickliffe House, 265 Princes Street, Dunedin","PO Box 709, , Dunedin - 9054","","+64 3 477 0730","+64 3 479 0689","glynis.shields@natlib.govt.nz","","Dunedin Centre, National Library of New Zealand","F","","Glynis Shields","Library Manager","glynis.shields@natlib.govt.nz","","","0","","","","","","","","","","F","F","F","","F","","","","","","","","","","","Dunedin","Otago","-45.877905921362","170.501495331341",
"Dunedin College of Education, Music Department","Other","Music Hire","Active","","DTM","Union Street East, , Dunedin","Private Bag 1912, , Dunedin -","","+64 3 476 7233","+64 3 477 6573","carole.randall@dce.ac.nz","Other main phone: 
+64 3 477 2289 extn 743","","","","DTM Hire","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","Dunedin","Otago","","",
"Robertson Library, University of Otago (SEE DU)","Tertiary","Polytechnic","SeeRef","","DTY",", , Dunedin",", , Dunedin  -","","","","","","","F","","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Dunedin","Otago","-45.8671346648987","170.519798297042",
"Otago Polytechnic Cromwell Campus Library (MERGED WITH DU Nov 2013)","Tertiary","Polytechnic","Pending","","DTYCW",", , Cromwell",", , Cromwell -","","","","","","","F","","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Cromwell","Otago","-45.0454","169.2087",
"Southland Campus Library, University of Otago (SEE DU)","Tertiary","University","SeeRef","Te Huinga Tahi","DTYSL",", , Invercargill",", , Invercargill -","","","","","","","F","","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Invercargill","Southland","-46.4224285499056","168.366814205419",
"University of Otago Library","Tertiary","University","Active","","DU","65 Albany Street, , Dunedin","PO Box 56, , Dunedin - 9054","www.library.otago.ac.nz","+64 3 479 8910","+64 3 479 8947","interloans.central@otago.ac.nz","For Urgent requests please email or phone to alert us.","University of Otago, Central Library","T","HealthLibs Network","Howard Amos","University Librarian","howard.amos@otago.ac.nz","+64 3 479 8947","+64 3 479 8935","Jacinda Boivin","Flexible Delivery Services Librarian","jacinda.boivin@otago.ac.nz","+64 3 479 5613","","","","","","","T","T","T","Charter","T","14","20","14","14","Non-Charter libraries - Std - $20 & Urgent - $45. Non-IBS libraries - Std - $25 & Urgent - $45.","","39","45","39","39","Dunedin","Otago","-45.866951027703","170.511367669943",
"University of Otago, Dental Library (SEE DU)","Tertiary","University","SeeRef","","DUD",", , Dunedin",", , Dunedin -","","","","","","","F","HealthLibs Network","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Dunedin","Otago","-45.8676294206112","170.508929657867",
"University of Otago, Hocken Collections","Tertiary","University","Active","Uare Taoka o Häkena","DUHO","90 Anzac Avenue, , Dunedin","PO Box 56, , Dunedin - 9054","www.otago.ac.nz/library/hocken","+64 3 479 8569","+64 3 479 5078","hocken@otago.ac.nz","Research library which does not lend material.From 1st October 2009 all theses will be supplied as PDF's.","Otago University, Hocken Collections/Library","T","","Sharon Dell","Manager","sharon.dell@otago.ac.nz","+64 3 479 5078","+64 3 479 8569","Judith Holloway","Interloans Librarian","judith.holloway@otago.ac.nz","+64 3 479 8569","","","","","","","T","T","T","Charter","T","14","20","14","14","Non-Charter Libraries - Std - $20, Urgent - $45. Non-IBS libraries - Std $25 & Urgent - $45. Free to Otago / Southland libraries.","","39","45","39","39","Dunedin","Otago","-45.8694036495023","170.518104598163",
"University of Otago, Sir Robert Stout Law Library (SEE DU)","Tertiary","University","SeeRef","","DUL",", , Dunedin",", , Dunedin -","","","","","","Sir Robert Stout Law Library, University of Otago","F","HealthLibs Network","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Dunedin","Otago","-45.8705","170.5109",
"University of Otago, Medical Library (SEE DU)","Tertiary","University","SeeRef","","DUM",", , Dunedin",", , Dunedin -","","","","","","","F","HealthLibs Network","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Dunedin","Otago","-45.8680742163283","170.508678826789",
"University of Otago, Science Library (SEE DU )","Tertiary","University","SeeRef","","DUS",", , Dunedin",", , Dunedin -","","","","","","","F","HealthLibs Network","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Dunedin","Otago","-45.863420561093","170.512986344713",
"Feilding Public Library","Public","Public Library","Active","Te Ara Matauranga","FEP","cnr Stafford & Bowen Streets, , Feilding","PO Box 264, , Feilding - 4740","www.mdc.govt.nz/library","+64 6 323 5373","+64 6 323 1355","library@mdc.govt.nz","","","T","","Simon Johnson","Library Manager","simon.johnson@mdc.govt.nz","","","Pip Williams","Interloans Contact","pip.williams@mdc.govt.nz","+64 6 323 5373","","","","","","","T","T","T","Charter","T","","","","","","","","","","","Feilding","Manawatu-Whanganui","-40.2246","175.5654",
"Far North District Libraries","Public","Public Library","Active","Nga Whare Matauranga o Te Tai Tokerau","FNP","Far North District Council Public Libraries, Memorial Avenue, Kaikohe","Far North District Council Public Libraries, Private Bag 752, Kaikohe - 0405","http://www.fndc.govt.nz/services/community-facilities/libraries#a0","+64 9 405 2750","+64 9 401 2137","ask.us@fndc.govt.nz","Interloans Contact, Chris Willett, works out of Kaitaia Library, Te Ahu, Cnr Matthews Ave & South Rd, Kaitaia 0410. Interloans deliveries to this address.","","T","","Jacine Warmington","Library Manager","jacine.warmington@fndc.govt.nz","","0800 920 029","Christopher Willett","Interloans Contact","Christopher.Willett@fndc.govt.nz","+64 9 408 9455","","","","","","","T","T","T","Charter","T","14","30","5","30","","","14","30","5","30","Kaikohe","Northland","-35.2294031277805","173.951405849861",
"Featherston Public Library","Public","Public Library","Active","","FP","Fitzherbert Street, , Featherston","Fitzherbert Street, , Featherston -","http://wls.kotui.org.nz","+64 6 308 9030","+64 6 308 9020","penny.ftp@swdc.govt.nz","","","F","","Penny Griffin","Library Manager","penny.ftp@swdc.govt.nz","","","0","","","","","","","","","","F","F","F","","F","","","","","","","","","","","Featherston","Wellington","-41.118778488219","175.332931163916",
"bookinopolis, Franklin Arts, Culture and Library Trust (SEE AP)","Public","Public Library","SeeRef","","FRAP","12 Massey Avenue, , Pukekohe",", , Pukekohe -","","","","","","","F","EPIC, LIANZA","0","","","","","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Pukekohe","","-37.2009967384906","174.905525084604",
"Tairawhiti District Health Library","Other","Health","Active","Te Mana Haurora o Te Tairawhiti","GM","421 Ormond Road, , Gisborne","Private Bag 7001, , Gisborne - 4040","","+64 6 869 0500 x 8228","+64 6 869 0585","clinical.library@tdh.org.nz","","","T","HealthLibs Network","Patricia Sheehan","","","06 869 0585","06 869 0500 x 8228","Patricia Sheehan","interloans contact","clinical.library@tdh.org.nz","06 869 0500 x 8228","","","","","","","T","T","T","Charter","T","14","14","14","14","","","14","14","14","14","Gisborne","Gisborne","-38.6394051755123","178.003661437752",
"Gore District Libraries","Public","Public Library","Active","","GOP","Norfolk Street, , Gore","Norfolk Street, , Gore - 9710","http://www.goredc.govt.nz/libservices","+64 3 203 9115","+64 3 203 9906","gorelib@goredc.govt.nz","","","T","","Lorraine Weston-Webb","Library Manager","lweston-webb@goredc.govt.nz","+64 3 203 9906","+64 3 203 9115","Lynda Hall-Jones","Interloans Contact","goreinterloans@goredc.govt.nz","+64 3 203 9129","","","","","","","T","T","T","Charter","F","14","14","14","14","No charge unless charged.","","14","14","14","14","Gore","Southland","-46.098","168.9476",
"H.B. Williams Memorial Library","Public","Public Library","Active","","GP","Peel Street, , Gisborne 4010","PO Box 747, , Gisborne 4040 -","www.gpl.govt.nz","+64 6 867 6709","","info@gpl.govt.nz","","HB Williams Memorial Library","T","PUB-SIG; Bicultural-SIG","Pene Walsh","Library Manager","pwalsh@gpl.govt.nz","","+64 6 867 6709","Aroha Ria","Interloans Contact","interloans@gpl.govt.nz","+64 6 867 6709","","","","","","","T","T","T","Charter","T","20","25","20","25","Charges apply to charging libraries ONLY, not those with reciprocal lending arrangements.","","20","40","20","40","Gisborne","Gisborne","-38.6659","178.0268",
"West Coast District Health Board Library","Other","Health","Active","Te Poari Hauora a Rohe o Tai Poutini Whare Pukapuka","GRM","High Street, , Greymouth","PO Box 387, , Greymouth - 7840","","+64 3 769 7400 x 2647","+64 3 769 7453","marie.mccrudden@westcoastdhb.health.nz","Library staffed Monday to Thursday","","T","HealthLibs Network","Marie McCrudden","Library Manager","marie.mccrudden@westcoastdhb.health.nz","","","Marie McCrudden","Interloans Contact","marie.mccrudden@westcoastdhb.health.nz","+64 3 769 7400 x 2647","","","","","","","T","T","T","Charter","0","","","","","No domestic charges","No international charges","","","","","Greymouth","West Coast","-42.4621","171.1967",
"Grey District Library","Public","public library","Active","","GRP","18 Albert Street, , Greymouth","PO Box 382, , Greymouth - 7840","www.greydc.govt.nz/library","+64 3 768 5597","+64 3 768 5597","greylib@greydc.govt.nz","","","T","PL-SIG or PUB-SIG (Public Libraries Special Interest Group)","Wynne Norgrove","District Librarian","wynnen@greydc.govt.nz","+64 3 768 5597","+64 3 768 5597","Daphne Willis","Interloans Librarian","daphnew@greydc.govt.nz or greylib@greydc.govt.nz","+64 3 768 5597","","","","","","","T","T","T","Charter","T","15","15","5","15","$25 urgent fee applies to same day deliveries. Free to South Island Level 3 libraries - Reciprocal Arrangements welcomed.","","25","40","25","40","Greymouth","West Coast","-42.4487183723629","171.209659128812",
"Tai Poutini Polytechnic Library","Tertiary","Polytechnic","Active","","GRPY","73-87 Tainui Street, , Greymouth","Private Bag 607, , Greymouth - 7840","www.tpp.ac.nz","+64 3 769 9407","+64 3 768 4503","daphnes@tpp.ac.nz","","","T","","Daphne Smithers","Library Manager","daphnes@tpp.ac.nz","+64 3 768 4503","+64 3 769 9407","Daphne Smithers","Library Manager","library@tpp.ac.nz","03 769 9407","","","","","","","T","T","T","Non-Charter","T","","","","","","","","","","","Greymouth","West Coast","-42.4514353312256","171.210091518693",
"National Library of New Zealand, Greymouth Centre (Advisory Centre Only, collection c/ Greymouth High School)","Other","National Library","Active","Te Puna Matauranga o Aotearoa","GRSL","c/o Greymouth High School, , Greymouth","PO Box 192, (c/o Greymouth High School), Greymouth - 7840","","+64 3 768 7684","+64 3 768 7689","jill.driver@natlib.govt.nz","Advisory Centre only. Collection held c/o Greymouth High School.","Greymouth Centre, National Library of New Zealand","F","","Jill Driver","Centre Manager","jill.driver@natlib.govt.nz","+64 3 768 7689","+64 3 768 7684","0","","","","","","","","","","F","F","F","","F","","","","","","","","","","","Greymouth","West Coast","-42.4624","171.1975",
"Greytown Public Library","Public","Public Library","Active","","GTP","Main Street, , Greytown","Main Street, , Greytown -","http://wls.kotui.org.nz","+64 6 304 9061","+64 6 304 8833","greytown@swdc.govt.nz","","","F","Wairarapa Library Service","Sylvia Lagah","Library Manager","greytown@swdc.govt.nz","","+64 6 304 9061","0","","","","","","","","","","F","F","F","tba","F","","","","","","","","","","","Greytown","Wellington","-41.0763930449081","175.464879796388",
"Havelock North Research Centre Library","Other","","Ceased","","HAAF","Cnr Crosses and St Georges Rds, , Havelock North","Private Bag 1401, , Havelock North -","www.hortresearch.co.nz","+64 6 877 8196","+64 6 877 4761","","","","T","","Leanne Allport","Library Manager","lallport@hortresearch.co.nz","","","0","","","","","","","","","","F","T","T","Non-Charter","F","","","","","","","","","","","Havelock North","Hawkes Bay","-39.6529","176.8756",
"Hastings Choral Society","Other","Music Hire","Active","","HACS","1020 Southland Road, , Hastings","PO Box 8918, , Havelock North - 4157","","+64 6 878 1102","","jeanniewclear.net.nz","Other contact details:
Ph: 06 873 3146
E: bill-gillian@xtra.co.nz 

or

Ph: 06 877 1942
E: anne.tony.page@xtra.co.nz","","","","HACS Hire","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","Hastings","Hawkes Bay","","",
"Pipfruit New Zealand Inc Information Resource","Other","Business","Active","","HAE","Eastbourne House, 507 Eastbourne Street West, Hastings","PO Box 11 094, , Hastings  - 4158","www.pipfruitnz.co.nz","+64 6 873 7080","+64 6 873 7089","christine.mcrae@pipfruitnz.co.nz","","NZ Pipfruit Inc, Information Resource","T","","Christine McRae","Information Co-ordinator (& Interloans)","christine.mcrae@pipfruitnz.co.nz","+64 6 873 7089","+64 6 873 7084","Christine McRae","Information Co-ordinator (& Interloans)","christine.mcrae@pipfruitnz.co.nz","+64 6 873 7084","","","","","","","T","T","T","Charter","T","14","25","14","25","","","14","30","14","30","Hastings","Hawkes Bay","-39.6385019271939","176.845103941236",
